date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
07/10/2017,9091,6253,460,209,6.253,0.460
08/10/2017,14455,10718,232,350,10.718,0.232
09/10/2017,3367,2361,319,95,2.361,0.319
10/10/2017,6486,4705,417,166,4.705,0.417
11/10/2017,7563,5472,418,200,5.472,0.418
12/10/2017,4392,2999,237,108,2.999,0.237
13/10/2017,5042,3556,386,127,3.556,0.386
14/10/2017,13621,9828,686,340,9.828,0.686
15/10/2017,4616,3465,158,127,3.465,0.158
16/10/2017,7231,4966,548,167,4.966,0.548
17/10/2017,5318,3703,497,138,3.703,0.497
18/10/2017,8963,6247,630,217,6.247,0.630
19/10/2017,15129,10961,638,388,10.961,0.638
20/10/2017,4420,3221,177,116,3.221,0.177
21/10/2017,3414,2293,318,84,2.293,0.318
22/10/2017,15392,11631,527,417,11.631,0.527
23/10/2017,10098,6926,719,232,6.926,0.719
24/10/2017,6357,4302,460,153,4.302,0.460
25/10/2017,6131,4105,518,143,4.105,0.518
26/10/2017,9406,6409,545,217,6.409,0.545
27/10/2017,7649,5282,745,189,5.282,0.745
28/10/2017,2809,1940,266,71,1.940,0.266
29/10/2017,469,303,26,14,0.303,0.026
