date,deepSleepTime,shallowSleepTime,wakeTime,startDateTime,stopDateTime,start,stop
1/10/2022,57,153,0,2022-09-30 23:22:00+0000,2022-10-01 03:16:00+0000,2022-09-30 23:22:00,2022-10-01 03:16:00
30/09/2022,77,230,0,2022-09-29 23:44:00+0000,2022-09-30 06:09:00+0000,2022-09-29 23:44:00,2022-09-30 06:09:00
29/09/2022,33,233,0,2022-09-29 00:37:00+0000,2022-09-29 06:01:00+0000,2022-09-29 00:37:00,2022-09-29 06:01:00
28/09/2022,34,224,0,2022-09-27 23:29:00+0000,2022-09-28 05:54:00+0000,2022-09-27 23:29:00,2022-09-28 05:54:00
27/09/2022,68,184,26,2022-09-27 00:19:00+0000,2022-09-27 06:16:00+0000,2022-09-27 00:19:00,2022-09-27 06:16:00
26/09/2022,61,207,13,2022-09-25 23:30:00+0000,2022-09-26 06:01:00+0000,2022-09-25 23:30:00,2022-09-26 06:01:00
25/09/2022,74,487,12,2022-09-24 21:23:00+0000,2022-09-25 07:50:00+0000,2022-09-24 21:23:00,2022-09-25 07:50:00
24/09/2022,96,246,20,2022-09-24 00:22:00+0000,2022-09-24 07:28:00+0000,2022-09-24 00:22:00,2022-09-24 07:28:00
23/09/2022,72,243,0,2022-09-23 00:38:00+0000,2022-09-23 06:44:00+0000,2022-09-23 00:38:00,2022-09-23 06:44:00
22/09/2022,78,210,0,2022-09-22 01:01:00+0000,2022-09-22 06:54:00+0000,2022-09-22 01:01:00,2022-09-22 06:54:00
21/09/2022,83,244,0,2022-09-20 23:59:00+0000,2022-09-21 06:49:00+0000,2022-09-20 23:59:00,2022-09-21 06:49:00
20/09/2022,60,197,1,2022-09-20 02:09:00+0000,2022-09-20 07:23:00+0000,2022-09-20 02:09:00,2022-09-20 07:23:00
19/09/2022,60,166,0,2022-09-19 01:54:00+0000,2022-09-19 07:01:00+0000,2022-09-19 01:54:00,2022-09-19 07:01:00
18/09/2022,101,271,1,2022-09-18 02:07:00+0000,2022-09-18 10:05:00+0000,2022-09-18 02:07:00,2022-09-18 10:05:00
17/09/2022,99,271,0,2022-09-17 00:53:00+0000,2022-09-17 08:39:00+0000,2022-09-17 00:53:00,2022-09-17 08:39:00
16/09/2022,28,229,0,2022-09-16 00:21:00+0000,2022-09-16 05:10:00+0000,2022-09-16 00:21:00,2022-09-16 05:10:00
15/09/2022,67,213,1,2022-09-15 01:11:00+0000,2022-09-15 07:04:00+0000,2022-09-15 01:11:00,2022-09-15 07:04:00
14/09/2022,72,219,3,2022-09-14 01:09:00+0000,2022-09-14 07:17:00+0000,2022-09-14 01:09:00,2022-09-14 07:17:00
13/09/2022,71,253,0,2022-09-13 00:47:00+0000,2022-09-13 06:58:00+0000,2022-09-13 00:47:00,2022-09-13 06:58:00
12/9/2022,95,227,46,2022-09-11 23:22:00+0000,2022-09-12 07:26:00+0000,2022-09-11 23:22:00,2022-09-12 07:26:00
11/9/2022,55,404,3,2022-09-10 23:42:00+0000,2022-09-11 08:28:00+0000,2022-09-10 23:42:00,2022-09-11 08:28:00
10/9/2022,59,241,2,2022-09-10 00:25:00+0000,2022-09-10 06:37:00+0000,2022-09-10 00:25:00,2022-09-10 06:37:00
9/9/2022,83,276,0,2022-09-09 00:07:00+0000,2022-09-09 06:55:00+0000,2022-09-09 00:07:00,2022-09-09 06:55:00
8/9/2022,64,201,0,2022-09-08 01:26:00+0000,2022-09-08 06:53:00+0000,2022-09-08 01:26:00,2022-09-08 06:53:00
7/9/2022,48,342,0,2022-09-06 23:27:00+0000,2022-09-07 07:19:00+0000,2022-09-06 23:27:00,2022-09-07 07:19:00
6/9/2022,68,203,0,2022-09-06 00:58:00+0000,2022-09-06 06:46:00+0000,2022-09-06 00:58:00,2022-09-06 06:46:00
5/9/2022,76,232,1,2022-09-05 01:15:00+0000,2022-09-05 07:40:00+0000,2022-09-05 01:15:00,2022-09-05 07:40:00
4/9/2022,91,316,0,2022-09-04 01:26:00+0000,2022-09-04 09:16:00+0000,2022-09-04 01:26:00,2022-09-04 09:16:00
3/9/2022,71,301,1,2022-09-03 01:12:00+0000,2022-09-03 08:13:00+0000,2022-09-03 01:12:00,2022-09-03 08:13:00
2/9/2022,81,226,0,2022-09-02 00:19:00+0000,2022-09-02 06:25:00+0000,2022-09-02 00:19:00,2022-09-02 06:25:00
